id_known,id_unknown,is_max,proximity,average_dist_normalized,sorted_rank,num_atoms
CCMSLIB00005464351,CCMSLIB00005464329,0.02,0.5599999999999998,0.4749885471382204,0.4333333333333333,16
CCMSLIB00005464198,CCMSLIB00005464484,0.1,0.6166666666666668,0.5134744714928696,0.525,13
CCMSLIB00005463916,CCMSLIB00005464175,0.08,0.51,0.3912008174319032,0.485,9
CCMSLIB00005464072,CCMSLIB00005464298,0.12,0.4966666666666667,0.4405202457918145,0.4599999999999998,10
CCMSLIB00005464275,CCMSLIB00005464456,0.1,0.43,0.2965148399558271,0.5272727272727273,12
CCMSLIB00005464402,CCMSLIB00005464389,0.1,0.557777777777778,0.4476080715952376,0.5344444444444444,19
CCMSLIB00005464298,CCMSLIB00005464351,0.12,0.5199999999999999,0.4166941713733396,0.4839999999999999,11
CCMSLIB00005463916,CCMSLIB00005463953,0.08,0.51,0.3912008174319032,0.485,9
CCMSLIB00005464201,CCMSLIB00005464221,0.08,0.4742857142857143,0.3993146267071759,0.4854545454545454,12
CCMSLIB00005463920,CCMSLIB00005463968,0.12,0.4200000000000001,0.3303803309765435,0.4771428571428571,8
CCMSLIB00005463556,CCMSLIB00005463563,0.1,0.5171428571428572,0.4448923059862349,0.5618181818181818,12
CCMSLIB00005463940,CCMSLIB00005464088,0.12,0.54,0.4534648291479917,0.477142857142857,8
CCMSLIB00005463923,CCMSLIB00005464004,0.12,0.525,0.4580863550830449,0.54,8
CCMSLIB00005464407,CCMSLIB00005464425,0.02,0.4325,0.4391181284325418,0.4571428571428571,15
CCMSLIB00005463873,CCMSLIB00005463901,0.04,0.725,0.6684467506662506,0.4658333333333335,25
CCMSLIB00005463987,CCMSLIB00005464014,0.08,0.3366666666666667,0.3274876716189003,0.41,9
CCMSLIB00005464251,CCMSLIB00005463566,0.08,0.54,0.4485593741626898,0.4716666666666666,13
CCMSLIB00005463927,CCMSLIB00005463957,0.12,0.6499999999999997,0.5731495106429366,0.54,8
CCMSLIB00005464402,CCMSLIB00005464514,0.06,0.4244444444444443,0.3199589648611189,0.5144444444444444,19
CCMSLIB00005464117,CCMSLIB00005464251,0.1,0.5171428571428572,0.4448923059862349,0.5618181818181818,12
CCMSLIB00005464228,CCMSLIB00005464127,0.12,0.6485714285714286,0.5704691679452364,0.5366666666666667,13
CCMSLIB00005464040,CCMSLIB00005464481,0.08,0.3366666666666667,0.3274876716189003,0.41,9
CCMSLIB00005463914,CCMSLIB00005464089,0.18,0.47,0.3877436815898991,0.4942857142857144,8
CCMSLIB00005463927,CCMSLIB00005463976,0.12,0.6499999999999997,0.5731495106429366,0.54,8
CCMSLIB00005463595,CCMSLIB00005463542,0.18,0.6320000000000001,0.5165078722302543,0.5800000000000002,8
CCMSLIB00005464262,CCMSLIB00005464269,0.14,0.6133333333333334,0.4747006295521798,0.5163636363636364,12
CCMSLIB00005464407,CCMSLIB00005464474,0.1,0.5875,0.4195205132647207,0.4057142857142857,15
CCMSLIB00005463613,CCMSLIB00005463563,0.04,0.45,0.3341122570854613,0.5323076923076924,14
CCMSLIB00005463914,CCMSLIB00005464036,0.08,0.445,0.3927509936791237,0.4342857142857141,8
CCMSLIB00005464504,CCMSLIB00005464534,0.04,0.6581818181818183,0.6030168431563295,0.5171428571428571,22
CCMSLIB00005463979,CCMSLIB00005464115,0.1,0.5866666666666668,0.4265299385169126,0.482222222222222,10
CCMSLIB00005463994,CCMSLIB00005464221,0.08,0.5914285714285712,0.4911745213017065,0.5466666666666667,10
CCMSLIB00005464088,CCMSLIB00005464087,0.08,0.4719999999999997,0.382126205342606,0.41,9
CCMSLIB00005463951,CCMSLIB00005464388,0.1,0.4288888888888889,0.4054876117303082,0.482222222222222,10
CCMSLIB00005463931,CCMSLIB00005464055,0.12,0.42,0.3265031713756823,0.4771428571428571,8
CCMSLIB00005464368,CCMSLIB00005464474,0.1,0.5875,0.4195205132647207,0.4057142857142857,15
CCMSLIB00005464146,CCMSLIB00005464469,0.1,0.4133333333333333,0.3095844903489537,0.5236363636363637,12
CCMSLIB00005463961,CCMSLIB00005464219,0.12,0.5942857142857144,0.4784545433153869,0.506,11
CCMSLIB00005464117,CCMSLIB00005464177,0.1,0.5171428571428572,0.4448923059862349,0.5618181818181818,12
CCMSLIB00005464298,CCMSLIB00005464153,0.14,0.43,0.3763284259413813,0.4359999999999999,11
CCMSLIB00005463959,CCMSLIB00005464082,0.12,0.4959999999999998,0.4470219228427771,0.4599999999999998,10
CCMSLIB00005464014,CCMSLIB00005464128,0.02,0.5285714285714287,0.4923709491851696,0.4911111111111112,10
CCMSLIB00005463920,CCMSLIB00005464055,0.12,0.652,0.576393773749919,0.54,8
CCMSLIB00005464397,CCMSLIB00005464534,0.04,0.46,0.3446998702420263,0.44,18
CCMSLIB00005464240,CCMSLIB00005463613,0.14,0.4457142857142857,0.3318157342655973,0.5216666666666666,13
CCMSLIB00005464368,CCMSLIB00005464425,0.02,0.4325,0.4391181284325418,0.4571428571428571,15
CCMSLIB00005463920,CCMSLIB00005463972,0.12,0.4200000000000001,0.3303803309765435,0.4771428571428571,8
CCMSLIB00005463584,CCMSLIB00005464269,0.08,0.5733333333333335,0.4768673777482292,0.4981818181818181,12
CCMSLIB00005463556,CCMSLIB00005463613,0.1,0.5171428571428572,0.4448923059862349,0.5618181818181818,12
CCMSLIB00005463556,CCMSLIB00005464251,0.1,0.5171428571428572,0.4448923059862349,0.5618181818181818,12
CCMSLIB00005464109,CCMSLIB00005464120,0.04,0.6028571428571429,0.4832069404371918,0.4563636363636364,12
CCMSLIB00005464219,CCMSLIB00005464437,0.04,0.5542857142857143,0.4150708607152545,0.4563636363636364,12
CCMSLIB00005464072,CCMSLIB00005464138,0.12,0.4966666666666667,0.4405202457918145,0.4599999999999998,10
CCMSLIB00005464138,CCMSLIB00005464351,0.12,0.5199999999999999,0.4166941713733396,0.4839999999999999,11
CCMSLIB00005464104,CCMSLIB00005464087,0.08,0.4719999999999997,0.382126205342606,0.41,9
CCMSLIB00005463920,CCMSLIB00005464192,0.12,0.4200000000000001,0.3303803309765435,0.4771428571428571,8
CCMSLIB00005464514,CCMSLIB00005464563,0.02,0.5163636363636364,0.4555594104829346,0.4990909090909091,23
CCMSLIB00005464402,CCMSLIB00005464568,0.06,0.4244444444444443,0.3199589648611189,0.5144444444444444,19
CCMSLIB00005463940,CCMSLIB00005464104,0.12,0.54,0.4534648291479917,0.477142857142857,8
CCMSLIB00005464008,CCMSLIB00005463984,0.1,0.52,0.4102068876015762,0.4275,9
CCMSLIB00005463899,CCMSLIB00005464416,0.12,0.68,0.551187499863962,0.5145454545454546,12
CCMSLIB00005463920,CCMSLIB00005464188,0.12,0.4200000000000001,0.3303803309765435,0.4771428571428571,8
CCMSLIB00005464568,CCMSLIB00005464563,0.02,0.5163636363636364,0.4555594104829346,0.4990909090909091,23
CCMSLIB00005463994,CCMSLIB00005464219,0.26,0.7228571428571429,0.6086932553281637,0.6333333333333333,10
CCMSLIB00005464053,CCMSLIB00005464040,0.1,0.3799999999999999,0.3297354946330866,0.5400000000000001,8
CCMSLIB00005463873,CCMSLIB00005464584,0.04,0.725,0.6684467506662506,0.4658333333333335,25
CCMSLIB00005463936,CCMSLIB00005464072,0.18,0.576,0.4579343309779535,0.5800000000000002,8
CCMSLIB00005464240,CCMSLIB00005463566,0.08,0.54,0.4485593741626898,0.4716666666666666,13
CCMSLIB00005463885,CCMSLIB00005463907,0.04,0.5753846153846155,0.5018495412411617,0.4200000000000001,23
CCMSLIB00005464008,CCMSLIB00005464257,0.14,0.6240000000000002,0.5367283859892344,0.4975,9
CCMSLIB00005464234,CCMSLIB00005464469,0.1,0.4133333333333333,0.3095844903489537,0.5236363636363637,12
CCMSLIB00005464120,CCMSLIB00005464425,0.06,0.5028571428571429,0.3967573296017929,0.4216666666666666,13
CCMSLIB00005464109,CCMSLIB00005464407,0.1,0.5171428571428572,0.4448923059862349,0.5618181818181818,12
CCMSLIB00005463927,CCMSLIB00005463972,0.18,0.5833333333333335,0.4861169530523118,0.5800000000000002,8
CCMSLIB00005464568,CCMSLIB00005464489,0.02,0.5163636363636364,0.4555594104829346,0.4990909090909091,23
CCMSLIB00005464250,CCMSLIB00005464484,0.06,0.6,0.5245441177976855,0.5266666666666667,13
CCMSLIB00005464109,CCMSLIB00005464204,0.08,0.3971428571428571,0.3194920528181241,0.4472727272727272,12
CCMSLIB00005463890,CCMSLIB00005464584,0.02,0.6600000000000001,0.6222251557268066,0.5658333333333333,25
CCMSLIB00005464109,CCMSLIB00005464327,0.1,0.5171428571428572,0.4448923059862349,0.5618181818181818,12
CCMSLIB00005463985,CCMSLIB00005464388,0.1,0.4288888888888889,0.4054876117303082,0.482222222222222,10
CCMSLIB00005463552,CCMSLIB00005464419,0.02,0.4488888888888888,0.4040488069087286,0.5026666666666667,16
CCMSLIB00005464146,CCMSLIB00005464456,0.1,0.4133333333333333,0.3095844903489537,0.5236363636363637,12
CCMSLIB00005463920,CCMSLIB00005463964,0.18,0.5720000000000001,0.45819506271456,0.5800000000000002,8
CCMSLIB00005463936,CCMSLIB00005464097,0.1,0.6160000000000001,0.5304998508401586,0.4571428571428571,8
CCMSLIB00005464120,CCMSLIB00005463552,0.14,0.4000000000000001,0.2804209260843974,0.5216666666666666,13
CCMSLIB00005464534,CCMSLIB00005464498,0.06,0.6,0.4827218375809362,0.5281818181818184,23
CCMSLIB00005464443,CCMSLIB00005464589,0.08,0.6000000000000001,0.4674610850333294,0.5042105263157894,20
CCMSLIB00005464384,CCMSLIB00005464404,0.1,0.4577777777777777,0.3653931511568842,0.5493333333333336,16
CCMSLIB00005463968,CCMSLIB00005464021,0.06,0.4766666666666669,0.4404060872083943,0.5725,9
CCMSLIB00005464230,CCMSLIB00005464425,0.12,0.5085714285714285,0.4024451857429132,0.5366666666666667,13
CCMSLIB00005463917,CCMSLIB00005463946,0.2,0.57,0.4602094146483095,0.5466666666666667,7
CCMSLIB00005464230,CCMSLIB00005463552,0.06,0.3828571428571428,0.2907265947600618,0.5266666666666667,13
CCMSLIB00005464389,CCMSLIB00005464489,0.06,0.4222222222222221,0.3014021400237149,0.4799999999999998,20
CCMSLIB00005463920,CCMSLIB00005464130,0.1,0.5239999999999998,0.4394787279921305,0.5400000000000001,8
CCMSLIB00005464221,CCMSLIB00005464418,0.1,0.6,0.5321455660518004,0.5983333333333333,13
CCMSLIB00005464397,CCMSLIB00005464314,0.04,0.46,0.3446998702420263,0.44,18
CCMSLIB00005464104,CCMSLIB00005464182,0.08,0.4719999999999997,0.382126205342606,0.41,9
CCMSLIB00005464201,CCMSLIB00005464448,0.08,0.5314285714285716,0.444935423093781,0.4472727272727272,12
CCMSLIB00005463917,CCMSLIB00005463915,0.2,0.57,0.4602094146483095,0.5466666666666667,7
CCMSLIB00005463927,CCMSLIB00005464036,0.12,0.6499999999999997,0.5731495106429366,0.54,8
CCMSLIB00005463927,CCMSLIB00005464130,0.12,0.4566666666666666,0.3795787825576242,0.4771428571428571,8
CCMSLIB00005464098,CCMSLIB00005464123,0.1,0.452,0.3596148116192339,0.5279999999999999,11
CCMSLIB00005464088,CCMSLIB00005464182,0.08,0.4719999999999997,0.382126205342606,0.41,9
CCMSLIB00005464344,CCMSLIB00005464504,0.06,0.4155555555555553,0.3196497699575756,0.4376470588235293,18
CCMSLIB00005464221,CCMSLIB00005464437,0.1,0.6,0.5321455660518004,0.5983333333333333,13
CCMSLIB00005463936,CCMSLIB00005464138,0.18,0.576,0.4579343309779535,0.5800000000000002,8
CCMSLIB00005464384,CCMSLIB00005464325,0.06,0.6755555555555559,0.6111569616603074,0.4933333333333332,16
CCMSLIB00005464314,CCMSLIB00005464534,0.08,0.4599999999999998,0.3273498066156557,0.5055555555555558,19
CCMSLIB00005464251,CCMSLIB00005463613,0.14,0.4457142857142857,0.3318157342655973,0.5216666666666666,13
CCMSLIB00005464275,CCMSLIB00005464469,0.1,0.43,0.2965148399558271,0.5272727272727273,12
CCMSLIB00005464344,CCMSLIB00005464314,0.02,0.6266666666666668,0.5732907788087422,0.492941176470588,18
CCMSLIB00005463927,CCMSLIB00005463964,0.12,0.6499999999999997,0.5731495106429366,0.54,8
CCMSLIB00005464026,CCMSLIB00005464128,0.02,0.5285714285714287,0.4923709491851696,0.4911111111111112,10
CCMSLIB00005464399,CCMSLIB00005464389,0.02,0.6533333333333338,0.5522860976019707,0.44,19
CCMSLIB00005463916,CCMSLIB00005464063,0.08,0.51,0.3912008174319032,0.485,9
CCMSLIB00005464100,CCMSLIB00005464192,0.14,0.5828571428571427,0.4668060727183061,0.4375,9
CCMSLIB00005464206,CCMSLIB00005464484,0.06,0.4439999999999998,0.3750745536809041,0.49,13
CCMSLIB00005464234,CCMSLIB00005464456,0.1,0.4133333333333333,0.3095844903489537,0.5236363636363637,12
CCMSLIB00005463987,CCMSLIB00005464026,0.08,0.3366666666666667,0.3274876716189003,0.41,9
CCMSLIB00005463920,CCMSLIB00005463987,0.12,0.4200000000000001,0.3303803309765435,0.4771428571428571,8
CCMSLIB00005464404,CCMSLIB00005464599,0.08,0.718181818181818,0.6286228312902804,0.5042105263157894,20
CCMSLIB00005463920,CCMSLIB00005464089,0.12,0.4200000000000001,0.3303803309765435,0.4771428571428571,8
CCMSLIB00005464117,CCMSLIB00005464240,0.1,0.5171428571428572,0.4448923059862349,0.5618181818181818,12
CCMSLIB00005464325,CCMSLIB00005464599,0.12,0.4777777777777778,0.3700525208785961,0.5925,17
CCMSLIB00005463927,CCMSLIB00005463968,0.1,0.6633333333333336,0.6174632598762464,0.5400000000000001,8
CCMSLIB00005463917,CCMSLIB00005464056,0.1,0.46,0.3617828467901337,0.4866666666666666,7
CCMSLIB00005464556,CCMSLIB00005463885,0.0,0.5646153846153849,0.503431523877091,0.461904761904762,22
CCMSLIB00005463920,CCMSLIB00005464026,0.12,0.4200000000000001,0.3303803309765435,0.4771428571428571,8
CCMSLIB00005463927,CCMSLIB00005464296,0.18,0.5833333333333335,0.4861169530523118,0.5800000000000002,8
CCMSLIB00005464312,CCMSLIB00005464608,0.04,0.45,0.3092670394701313,0.4789473684210526,20
CCMSLIB00005463920,CCMSLIB00005463976,0.18,0.5720000000000001,0.45819506271456,0.5800000000000002,8
CCMSLIB00005464501,CCMSLIB00005464556,0.08,0.3825,0.4043776401549115,0.5742857142857143,15
CCMSLIB00005464240,CCMSLIB00005463563,0.14,0.4457142857142857,0.3318157342655973,0.5216666666666666,13
CCMSLIB00005463920,CCMSLIB00005464014,0.12,0.4200000000000001,0.3303803309765435,0.4771428571428571,8
CCMSLIB00005463916,CCMSLIB00005464066,0.08,0.51,0.3912008174319032,0.485,9
CCMSLIB00005463936,CCMSLIB00005464298,0.18,0.576,0.4579343309779535,0.5800000000000002,8
CCMSLIB00005463920,CCMSLIB00005464296,0.12,0.4200000000000001,0.3303803309765435,0.4771428571428571,8
CCMSLIB00005463994,CCMSLIB00005463961,0.26,0.7228571428571429,0.6086932553281637,0.6333333333333333,10
CCMSLIB00005464109,CCMSLIB00005464230,0.04,0.6028571428571429,0.4832069404371918,0.4563636363636364,12
CCMSLIB00005463914,CCMSLIB00005463972,0.18,0.47,0.3877436815898991,0.4942857142857144,8
CCMSLIB00005464026,CCMSLIB00005464202,0.12,0.5628571428571426,0.5081274152803825,0.4599999999999998,10
CCMSLIB00005463914,CCMSLIB00005463976,0.08,0.445,0.3927509936791237,0.4342857142857141,8
CCMSLIB00005463941,CCMSLIB00005464082,0.08,0.54,0.4521187565005927,0.4342857142857141,8
CCMSLIB00005463914,CCMSLIB00005464130,0.1,0.565,0.4407197903722659,0.4571428571428571,8
CCMSLIB00005464584,CCMSLIB00005464579,0.02,0.4833333333333333,0.373382696470778,0.4543999999999999,26
CCMSLIB00005464040,CCMSLIB00005464477,0.08,0.5833333333333334,0.4754495399269361,0.485,9
CCMSLIB00005463930,CCMSLIB00005464225,0.1,0.495,0.4442674743991659,0.5400000000000001,8
CCMSLIB00005463920,CCMSLIB00005464036,0.18,0.5720000000000001,0.45819506271456,0.5800000000000002,8
CCMSLIB00005463556,CCMSLIB00005464240,0.1,0.5171428571428572,0.4448923059862349,0.5618181818181818,12
CCMSLIB00005464388,CCMSLIB00005464307,0.04,0.4800000000000001,0.4155802404423072,0.5323076923076924,14
CCMSLIB00005464014,CCMSLIB00005464202,0.12,0.5628571428571426,0.5081274152803825,0.4599999999999998,10
CCMSLIB00005464104,CCMSLIB00005464214,0.08,0.4719999999999997,0.382126205342606,0.41,9
CCMSLIB00005463941,CCMSLIB00005463952,0.12,0.5,0.4162773462740722,0.4771428571428571,8
CCMSLIB00005463920,CCMSLIB00005463956,0.18,0.5720000000000001,0.45819506271456,0.5800000000000002,8
CCMSLIB00005464251,CCMSLIB00005463563,0.14,0.4457142857142857,0.3318157342655973,0.5216666666666666,13
CCMSLIB00005464109,CCMSLIB00005464368,0.1,0.5171428571428572,0.4448923059862349,0.5618181818181818,12
CCMSLIB00005463927,CCMSLIB00005464089,0.18,0.5833333333333335,0.4861169530523118,0.5800000000000002,8
CCMSLIB00005463968,CCMSLIB00005464188,0.08,0.3366666666666667,0.3274876716189003,0.41,9
CCMSLIB00005464599,CCMSLIB00005464524,0.04,0.4781818181818182,0.3733218692334668,0.5319999999999999,21
CCMSLIB00005463914,CCMSLIB00005463964,0.08,0.445,0.3927509936791237,0.4342857142857141,8
CCMSLIB00005463917,CCMSLIB00005464102,0.12,0.38,0.3046209167585242,0.4633333333333334,7
CCMSLIB00005463956,CCMSLIB00005463559,0.08,0.5039999999999999,0.3864711649424023,0.485,9
CCMSLIB00005464138,CCMSLIB00005464153,0.14,0.43,0.3763284259413813,0.4359999999999999,11
CCMSLIB00005464514,CCMSLIB00005464489,0.02,0.5163636363636364,0.4555594104829346,0.4990909090909091,23
CCMSLIB00005464088,CCMSLIB00005464214,0.08,0.4719999999999997,0.382126205342606,0.41,9
CCMSLIB00005463968,CCMSLIB00005464192,0.08,0.3366666666666667,0.3274876716189003,0.41,9
CCMSLIB00005464397,CCMSLIB00005464312,0.04,0.46,0.3446998702420263,0.44,18
